"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"LED14","LED5MM","27.5082mm","18.1102mm","27.5082mm","18.1102mm","26.2382mm","18.1102mm","T","0.00",""
"LED13","LED5MM","33.5026mm","18.1102mm","33.5026mm","18.1102mm","32.2326mm","18.1102mm","T","0.00",""
"LED12","LED5MM","39.497mm","18.1102mm","39.497mm","18.1102mm","38.227mm","18.1102mm","T","0.00",""
"LED11","LED5MM","45.4914mm","18.1102mm","45.4914mm","18.1102mm","44.2214mm","18.1102mm","T","0.00",""
"LED10","LED5MM","51.4858mm","18.1102mm","51.4858mm","18.1102mm","50.2158mm","18.1102mm","T","0.00",""
"LED9","LED5MM","57.5056mm","18.1102mm","57.5056mm","18.1102mm","56.2356mm","18.1102mm","T","0.00",""
"LED8","LED5MM","63.5mm","18.1102mm","63.5mm","18.1102mm","62.23mm","18.1102mm","T","0.00",""
"LED7","LED5MM","27.5082mm","12.0904mm","27.5082mm","12.0904mm","26.2382mm","12.0904mm","T","0.00",""
"LED6","LED5MM","33.5026mm","12.0904mm","33.5026mm","12.0904mm","32.2326mm","12.0904mm","T","0.00",""
"LED5","LED5MM","39.497mm","12.0904mm","39.497mm","12.0904mm","38.227mm","12.0904mm","T","0.00",""
"LED4","LED5MM","45.4914mm","12.0904mm","45.4914mm","12.0904mm","44.2214mm","12.0904mm","T","0.00",""
"LED3","LED5MM","51.4858mm","12.0904mm","51.4858mm","12.0904mm","50.2158mm","12.0904mm","T","0.00",""
"LED2","LED5MM","57.5056mm","12.0904mm","57.5056mm","12.0904mm","56.2356mm","12.0904mm","T","0.00",""

