"Designator","NozzleNum","StackNum","Mid X","Mid Y","Rotation","Height","Speed","Vision","Pressure","Explanation"
"R6","1","L8","174.55","109.94","360.00","0.50","100","None","True","0:0805 "
"R6","1","L8","174.57","15.72","360.00","0.50","100","None","True","0:0805 "
"R6","1","L8","174.62","62.86","360.00","0.50","100","None","True","0:0805 "
"R5","1","L8","180.85","170.00","180.00","0.50","100","None","True","0:0805 "
"R5","1","L8","180.95","75.88","180.00","0.50","100","None","True","0:0805 "
"R5","1","L8","180.95","122.89","180.00","0.50","100","None","True","0:0805 "
"R5","1","L8","180.96","28.67","180.00","0.50","100","None","True","0:0805 "
"R37","1","L9","8.98","144.06","360.00","0.50","100","None","True","0:0805 "
"R37","1","L9","9.00","2.85","360.00","0.50","100","None","True","0:0805 "
"R37","1","L9","9.02","96.95","360.00","0.50","100","None","True","0:0805 "
"R37","1","L9","9.06","49.87","360.00","0.50","100","None","True","0:0805 "
"R36","1","L9","9.11","148.09","270.00","0.50","100","None","True","0:0805 "
"R36","1","L9","9.16","6.88","270.00","0.50","100","None","True","0:0805 "
"R36","1","L9","9.20","100.98","270.00","0.50","100","None","True","0:0805 "
"R36","1","L9","9.21","53.93","270.00","0.50","100","None","True","0:0805 "
"R51","1","L9","79.58","12.53","180.00","0.50","100","None","True","0:0805 "
"R51","1","L9","79.58","106.70","180.00","0.50","100","None","True","0:0805 "
"R51","1","L9","79.58","153.70","180.00","0.50","100","None","True","0:0805 "
"R51","1","L9","79.67","59.64","180.00","0.50","100","None","True","0:0805 "
"R38","1","L9","86.57","175.09","270.00","0.50","100","None","True","0:0805 "
"R38","1","L9","86.64","81.02","270.00","0.50","100","None","True","0:0805 "
"R38","1","L9","86.70","128.04","270.00","0.50","100","None","True","0:0805 "
"R38","1","L9","86.71","33.85","270.00","0.50","100","None","True","0:0805 "
"R37","1","L9","108.12","143.86","360.00","0.50","100","None","True","0:0805 "
"R37","1","L9","108.14","2.62","360.00","0.50","100","None","True","0:0805 "
"R37","1","L9","108.17","49.70","360.00","0.50","100","None","True","0:0805 "
"R37","1","L9","108.22","96.81","360.00","0.50","100","None","True","0:0805 "
"R36","1","L9","108.22","147.89","270.00","0.50","100","None","True","0:0805 "
"R36","1","L9","108.30","6.68","270.00","0.50","100","None","True","0:0805 "
"R36","1","L9","108.31","100.87","270.00","0.50","100","None","True","0:0805 "
"R36","1","L9","108.32","53.79","270.00","0.50","100","None","True","0:0805 "
"R51","1","L9","178.67","153.63","180.00","0.50","100","None","True","0:0805 "
"R51","1","L9","178.77","106.64","180.00","0.50","100","None","True","0:0805 "
"R51","1","L9","178.78","12.42","180.00","0.50","100","None","True","0:0805 "
"R51","1","L9","178.78","59.47","180.00","0.50","100","None","True","0:0805 "
"R38","1","L9","185.62","175.04","270.00","0.50","100","None","True","0:0805 "
"R38","1","L9","185.68","127.93","270.00","0.50","100","None","True","0:0805 "
"R38","1","L9","185.72","80.85","270.00","0.50","100","None","True","0:0805 "
"R38","1","L9","185.73","33.68","270.00","0.50","100","None","True","0:0805 "
"LED29","1","L10","4.46","145.35","180.00","0.50","100","None","False","0:CHIPLED_1206 "
"LED29","1","L10","4.47","4.19","180.00","0.50","100","None","False","0:CHIPLED_1206 "
"LED29","1","L10","4.47","51.19","180.00","0.50","100","None","False","0:CHIPLED_1206 "
"LED29","1","L10","4.47","98.33","180.00","0.50","100","None","False","0:CHIPLED_1206 "
"LED29","1","L10","103.55","51.05","180.00","0.50","100","None","False","0:CHIPLED_1206 "
"LED29","1","L10","103.55","98.19","180.00","0.50","100","None","False","0:CHIPLED_1206 "
"LED29","1","L10","103.55","145.19","180.00","0.50","100","None","False","0:CHIPLED_1206 "
"LED29","1","L10","103.56","4.03","180.00","0.50","100","None","False","0:CHIPLED_1206 "
"LED32","1","L11","23.27","11.99","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED32","1","L11","23.27","58.99","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED32","1","L11","23.27","105.99","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED32","1","L11","23.27","152.99","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED31","1","L11","67.28","11.50","270.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED31","1","L11","67.28","58.50","270.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED31","1","L11","67.28","105.50","270.00","0.50","100","None","True","0:CHIPLED_1206 "
