"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R33","0805","90.805mm","52.5444mm","90.805mm","52.5372mm","90.805mm","51.6372mm","T","90.00",""
"R36","0805","9.0932mm","53.9016mm","9.0932mm","53.9088mm","9.0932mm","54.8088mm","T","270.00",""
"R37","0805","8.948mm","49.8702mm","8.9408mm","49.8702mm","8.0408mm","49.8702mm","T","0.00",""
"R38","0805","86.4616mm","81.0542mm","86.4616mm","81.0614mm","86.4616mm","81.9614mm","T","270.00",""
"R39","0805","81.9984mm","53.985mm","81.9912mm","53.985mm","81.0912mm","53.985mm","T","0.00",""
"SV3_LCD_HEADER","MDF7-5S-2.54DSA","36.2839mm","83.5125mm","29.972mm","80.401mm","31.1912mm","82.0012mm","T","0.00",""
"SG1","BUZZER-12MM","88.2656mm","67.4978mm","88.265mm","67.4978mm","91.5162mm","67.4978mm","T","0.00",""
"JP1","2X20","45.085mm","51.8006mm","45.085mm","51.8006mm","69.215mm","53.0706mm","T","180.00",""
"R51","0805","79.4694mm","59.7mm","79.4766mm","59.7mm","80.3766mm","59.7mm","T","180.00",""
"R52","0805","4.26mm","48.8034mm","4.2672mm","48.8034mm","5.1672mm","48.8034mm","T","180.00",""
"R55","0805","13.4548mm","48.8034mm","13.462mm","48.8034mm","14.362mm","48.8034mm","T","180.00",""
"LED29","CHIPLED_1206","4.3675mm","51.191mm","4.3688mm","51.191mm","6.1188mm","51.191mm","T","90.00",""
"LED30","CHIPLED_1206","13.4607mm","51.0894mm","13.462mm","51.0894mm","15.212mm","51.0894mm","T","90.00",""
"C6","E3,5-8","72.9742mm","57.795mm","72.9742mm","57.795mm","72.9742mm","59.573mm","T","270.00",""
"C2","E3,5-8","3.3782mm","81.798mm","3.3782mm","81.798mm","1.6002mm","81.798mm","T","0.00",""
"R30","0805","92.387mm","76.21mm","92.3798mm","76.21mm","91.4798mm","76.21mm","T","0.00",""
"T1","SOT23","91.9646mm","79.1132mm","91.9734mm","79.1056mm","93.0734mm","78.1556mm","T","90.00",""
"IC1","SO16","5.6642mm","71.9936mm","5.6642mm","71.9936mm","2.5908mm","76.4386mm","T","270.00",""
"SW1","EVQ-Q2","4.4737mm","57.6916mm","4.4704mm","57.6934mm","2.4704mm","61.0934mm","T","270.00",""
"SW2","EVQ-Q2","13.5603mm","57.5936mm","13.5636mm","57.5918mm","15.5636mm","54.1918mm","T","90.00",""
"SW3","EVQ-Q2","78.183mm","79.8963mm","78.1812mm","79.893mm","74.7812mm","77.893mm","T","0.00",""
"SW4","EVQ-Q2","86.7682mm","57.6967mm","86.7664mm","57.6934mm","83.3664mm","55.6934mm","T","0.00",""
"LED28","LED5MM","27.4828mm","77.099mm","27.4828mm","77.099mm","26.2128mm","77.099mm","T","0.00",""
"R1","0805","9.5686mm","84.592mm","9.5758mm","84.592mm","10.4758mm","84.592mm","T","180.00",""
"R2","0805","92.2854mm","73.8986mm","92.2782mm","73.8986mm","91.3782mm","73.8986mm","T","0.00",""
"R4","0805","77.0708mm","64.6022mm","77.0636mm","64.6022mm","76.1636mm","64.6022mm","T","0.00",""
"U$3","TSSOP24","17.58mm","71.8936mm","17.5768mm","71.892mm","14.0018mm","68.9742mm","T","0.00",""
"U$4","TSSOP24","72.7678mm","71.103mm","72.771mm","71.1046mm","76.346mm","74.0224mm","T","180.00",""
"R3","0805","18.0776mm","79.7914mm","18.0848mm","79.7914mm","18.9848mm","79.7914mm","T","180.00",""
"R5","0805","81.6538mm","76.0068mm","81.661mm","76.0068mm","82.561mm","76.0068mm","T","180.00",""
"R6","0805","75.2674mm","63.002mm","75.2602mm","63.002mm","74.3602mm","63.002mm","T","0.00",""
"C1","C0805","12.573mm","73.7902mm","12.573mm","73.797mm","12.573mm","74.647mm","T","270.00",""
"C3","C0805","81.5848mm","71.8988mm","81.5848mm","71.892mm","81.5848mm","71.042mm","T","90.00",""
"LED31","CHIPLED_1206","67.2846mm","58.5049mm","67.2846mm","58.5062mm","67.2846mm","60.2562mm","T","180.00",""
"LED32","CHIPLED_1206","23.2664mm","58.9901mm","23.2664mm","58.9888mm","23.2664mm","57.2388mm","T","0.00",""
"IC2","QFN-10","76.5738mm","51.7062mm","76.581mm","51.699mm","75.819mm","50.799mm","T","90.00",""
"FID1","FIDUCIAL-1X2","93.98mm","46.8984mm","93.98mm","46.8984mm","93.98mm","46.8984mm","T","0.00",""
"FID2","FIDUCIAL-1X2","-0.8382mm","84.7952mm","-0.8382mm","84.7952mm","-0.8382mm","84.7952mm","T","0.00",""
"U$1","FIDUCIAL_1MM","-0.0254mm","47mm","-0.0254mm","47mm","-0.0254mm","47mm","T","0.00",""
"U$5","FIDUCIAL_1MM","93.7768mm","83.9062mm","93.7768mm","83.9062mm","93.7768mm","83.9062mm","T","0.00",""
"LED2","LED5MM","57.4802mm","106.0904mm","57.4802mm","106.0904mm","56.2102mm","106.0904mm","T","0.00",""
"LED3","LED5MM","51.4604mm","106.0904mm","51.4604mm","106.0904mm","50.1904mm","106.0904mm","T","0.00",""
"LED4","LED5MM","45.466mm","106.0904mm","45.466mm","106.0904mm","44.196mm","106.0904mm","T","0.00",""
"LED5","LED5MM","39.4716mm","106.0904mm","39.4716mm","106.0904mm","38.2016mm","106.0904mm","T","0.00",""
"LED6","LED5MM","33.4772mm","106.0904mm","33.4772mm","106.0904mm","32.2072mm","106.0904mm","T","0.00",""
"LED7","LED5MM","27.4828mm","106.0904mm","27.4828mm","106.0904mm","26.2128mm","106.0904mm","T","0.00",""
"LED8","LED5MM","63.4746mm","112.1102mm","63.4746mm","112.1102mm","62.2046mm","112.1102mm","T","0.00",""
"LED9","LED5MM","57.4802mm","112.1102mm","57.4802mm","112.1102mm","56.2102mm","112.1102mm","T","0.00",""
"LED10","LED5MM","51.4604mm","112.1102mm","51.4604mm","112.1102mm","50.1904mm","112.1102mm","T","0.00",""
"LED11","LED5MM","45.466mm","112.1102mm","45.466mm","112.1102mm","44.196mm","112.1102mm","T","0.00",""
"LED12","LED5MM","39.4716mm","112.1102mm","39.4716mm","112.1102mm","38.2016mm","112.1102mm","T","0.00",""
"LED13","LED5MM","33.4772mm","112.1102mm","33.4772mm","112.1102mm","32.2072mm","112.1102mm","T","0.00",""
"LED14","LED5MM","27.4828mm","112.1102mm","27.4828mm","112.1102mm","26.2128mm","112.1102mm","T","0.00",""
"LED15","LED5MM","63.4746mm","118.1046mm","63.4746mm","118.1046mm","62.2046mm","118.1046mm","T","0.00",""
"LED16","LED5MM","57.4802mm","118.1046mm","57.4802mm","118.1046mm","56.2102mm","118.1046mm","T","0.00",""
"LED17","LED5MM","51.4604mm","118.1046mm","51.4604mm","118.1046mm","50.1904mm","118.1046mm","T","0.00",""
"LED18","LED5MM","45.466mm","118.1046mm","45.466mm","118.1046mm","44.196mm","118.1046mm","T","0.00",""
"LED19","LED5MM","39.4716mm","118.1046mm","39.4716mm","118.1046mm","38.2016mm","118.1046mm","T","0.00",""
"LED20","LED5MM","33.4772mm","118.1046mm","33.4772mm","118.1046mm","32.2072mm","118.1046mm","T","0.00",""
"LED21","LED5MM","27.4828mm","118.1046mm","27.4828mm","118.1046mm","26.2128mm","118.1046mm","T","0.00",""
"LED22","LED5MM","63.4746mm","124.099mm","63.4746mm","124.099mm","62.2046mm","124.099mm","T","0.00",""
"LED23","LED5MM","57.4802mm","124.099mm","57.4802mm","124.099mm","56.2102mm","124.099mm","T","0.00",""
"LED24","LED5MM","51.4604mm","124.099mm","51.4604mm","124.099mm","50.1904mm","124.099mm","T","0.00",""
"LED25","LED5MM","45.466mm","124.099mm","45.466mm","124.099mm","44.196mm","124.099mm","T","0.00",""
"LED26","LED5MM","39.4716mm","124.099mm","39.4716mm","124.099mm","38.2016mm","124.099mm","T","0.00",""
"LED27","LED5MM","33.4772mm","124.099mm","33.4772mm","124.099mm","32.2072mm","124.099mm","T","0.00",""
"LED1","LED5MM","63.4746mm","105.9888mm","63.4746mm","105.9888mm","62.2046mm","105.9888mm","T","0.00",""
"U$2","LED-TRICOLOR-SMD","86.7212mm","98.8126mm","86.7156mm","98.8006mm","87.4268mm","97.3006mm","T","0.00",""
"SV1","FE05-1","15.494mm","128.9758mm","15.494mm","128.9758mm","10.414mm","128.9758mm","T","0.00",""
"R32","0805","82.0492mm","98.9276mm","82.042mm","98.9276mm","81.142mm","98.9276mm","T","0.00",""
"R33","0805","90.805mm","99.5444mm","90.805mm","99.5372mm","90.805mm","98.6372mm","T","90.00",""
"R36","0805","9.0932mm","100.9016mm","9.0932mm","100.9088mm","9.0932mm","101.8088mm","T","270.00",""
"R37","0805","8.948mm","96.8702mm","8.9408mm","96.8702mm","8.0408mm","96.8702mm","T","0.00",""
"R38","0805","86.4616mm","128.0542mm","86.4616mm","128.0614mm","86.4616mm","128.9614mm","T","270.00",""
"R39","0805","81.9984mm","100.985mm","81.9912mm","100.985mm","81.0912mm","100.985mm","T","0.00",""
"SV3_LCD_HEADER","MDF7-5S-2.54DSA","36.2839mm","130.5125mm","29.972mm","127.401mm","31.1912mm","129.0012mm","T","0.00",""
