"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"LED31","CHIPLED_1206","67.2846mm","152.5049mm","67.2846mm","152.5062mm","67.2846mm","154.2562mm","T","180.00",""
"LED32","CHIPLED_1206","23.2664mm","152.9901mm","23.2664mm","152.9888mm","23.2664mm","151.2388mm","T","0.00",""
"IC2","QFN-10","76.5738mm","145.7062mm","76.581mm","145.699mm","75.819mm","144.799mm","T","90.00",""
"FID1","FIDUCIAL-1X2","93.98mm","140.8984mm","93.98mm","140.8984mm","93.98mm","140.8984mm","T","0.00",""
"FID2","FIDUCIAL-1X2","-0.8382mm","178.7952mm","-0.8382mm","178.7952mm","-0.8382mm","178.7952mm","T","0.00",""
"U$1","FIDUCIAL_1MM","-0.0254mm","141mm","-0.0254mm","141mm","-0.0254mm","141mm","T","0.00",""
"U$5","FIDUCIAL_1MM","93.7768mm","177.9062mm","93.7768mm","177.9062mm","93.7768mm","177.9062mm","T","0.00",""
"LED2","LED5MM","156.4802mm","12.0904mm","156.4802mm","12.0904mm","155.2102mm","12.0904mm","T","0.00",""
"LED3","LED5MM","150.4604mm","12.0904mm","150.4604mm","12.0904mm","149.1904mm","12.0904mm","T","0.00",""
"LED4","LED5MM","144.466mm","12.0904mm","144.466mm","12.0904mm","143.196mm","12.0904mm","T","0.00",""
"LED5","LED5MM","138.4716mm","12.0904mm","138.4716mm","12.0904mm","137.2016mm","12.0904mm","T","0.00",""
"LED6","LED5MM","132.4772mm","12.0904mm","132.4772mm","12.0904mm","131.2072mm","12.0904mm","T","0.00",""
"LED7","LED5MM","126.4828mm","12.0904mm","126.4828mm","12.0904mm","125.2128mm","12.0904mm","T","0.00",""
"LED8","LED5MM","162.4746mm","18.1102mm","162.4746mm","18.1102mm","161.2046mm","18.1102mm","T","0.00",""
"LED9","LED5MM","156.4802mm","18.1102mm","156.4802mm","18.1102mm","155.2102mm","18.1102mm","T","0.00",""
"LED10","LED5MM","150.4604mm","18.1102mm","150.4604mm","18.1102mm","149.1904mm","18.1102mm","T","0.00",""
"LED11","LED5MM","144.466mm","18.1102mm","144.466mm","18.1102mm","143.196mm","18.1102mm","T","0.00",""
"LED12","LED5MM","138.4716mm","18.1102mm","138.4716mm","18.1102mm","137.2016mm","18.1102mm","T","0.00",""
"LED13","LED5MM","132.4772mm","18.1102mm","132.4772mm","18.1102mm","131.2072mm","18.1102mm","T","0.00",""
"LED14","LED5MM","126.4828mm","18.1102mm","126.4828mm","18.1102mm","125.2128mm","18.1102mm","T","0.00",""
"LED15","LED5MM","162.4746mm","24.1046mm","162.4746mm","24.1046mm","161.2046mm","24.1046mm","T","0.00",""
"LED16","LED5MM","156.4802mm","24.1046mm","156.4802mm","24.1046mm","155.2102mm","24.1046mm","T","0.00",""
"LED17","LED5MM","150.4604mm","24.1046mm","150.4604mm","24.1046mm","149.1904mm","24.1046mm","T","0.00",""
"LED18","LED5MM","144.466mm","24.1046mm","144.466mm","24.1046mm","143.196mm","24.1046mm","T","0.00",""
"LED19","LED5MM","138.4716mm","24.1046mm","138.4716mm","24.1046mm","137.2016mm","24.1046mm","T","0.00",""
"LED20","LED5MM","132.4772mm","24.1046mm","132.4772mm","24.1046mm","131.2072mm","24.1046mm","T","0.00",""
"LED21","LED5MM","126.4828mm","24.1046mm","126.4828mm","24.1046mm","125.2128mm","24.1046mm","T","0.00",""
"LED22","LED5MM","162.4746mm","30.099mm","162.4746mm","30.099mm","161.2046mm","30.099mm","T","0.00",""
"LED23","LED5MM","156.4802mm","30.099mm","156.4802mm","30.099mm","155.2102mm","30.099mm","T","0.00",""
"LED24","LED5MM","150.4604mm","30.099mm","150.4604mm","30.099mm","149.1904mm","30.099mm","T","0.00",""
"LED25","LED5MM","144.466mm","30.099mm","144.466mm","30.099mm","143.196mm","30.099mm","T","0.00",""
"LED26","LED5MM","138.4716mm","30.099mm","138.4716mm","30.099mm","137.2016mm","30.099mm","T","0.00",""
"LED27","LED5MM","132.4772mm","30.099mm","132.4772mm","30.099mm","131.2072mm","30.099mm","T","0.00",""
"LED1","LED5MM","162.4746mm","11.9888mm","162.4746mm","11.9888mm","161.2046mm","11.9888mm","T","0.00",""
"U$2","LED-TRICOLOR-SMD","185.7212mm","4.8126mm","185.7156mm","4.8006mm","186.4268mm","3.3006mm","T","0.00",""
"SV1","FE05-1","114.494mm","34.9758mm","114.494mm","34.9758mm","109.414mm","34.9758mm","T","0.00",""
"R32","0805","181.0492mm","4.9276mm","181.042mm","4.9276mm","180.142mm","4.9276mm","T","0.00",""
"R33","0805","189.805mm","5.5444mm","189.805mm","5.5372mm","189.805mm","4.6372mm","T","90.00",""
"R36","0805","108.0932mm","6.9016mm","108.0932mm","6.9088mm","108.0932mm","7.8088mm","T","270.00",""
"R37","0805","107.948mm","2.8702mm","107.9408mm","2.8702mm","107.0408mm","2.8702mm","T","0.00",""
"R38","0805","185.4616mm","34.0542mm","185.4616mm","34.0614mm","185.4616mm","34.9614mm","T","270.00",""
"R39","0805","180.9984mm","6.985mm","180.9912mm","6.985mm","180.0912mm","6.985mm","T","0.00",""
"SV3_LCD_HEADER","MDF7-5S-2.54DSA","135.2839mm","36.5125mm","128.972mm","33.401mm","130.1912mm","35.0012mm","T","0.00",""
"SG1","BUZZER-12MM","187.2656mm","20.4978mm","187.265mm","20.4978mm","190.5162mm","20.4978mm","T","0.00",""
"JP1","2X20","144.085mm","4.8006mm","144.085mm","4.8006mm","168.215mm","6.0706mm","T","180.00",""
"R51","0805","178.4694mm","12.7mm","178.4766mm","12.7mm","179.3766mm","12.7mm","T","180.00",""
"R52","0805","103.26mm","1.8034mm","103.2672mm","1.8034mm","104.1672mm","1.8034mm","T","180.00",""
"R55","0805","112.4548mm","1.8034mm","112.462mm","1.8034mm","113.362mm","1.8034mm","T","180.00",""
"LED29","CHIPLED_1206","103.3675mm","4.191mm","103.3688mm","4.191mm","105.1188mm","4.191mm","T","90.00",""
"LED30","CHIPLED_1206","112.4607mm","4.0894mm","112.462mm","4.0894mm","114.212mm","4.0894mm","T","90.00",""
"C6","E3,5-8","171.9742mm","10.795mm","171.9742mm","10.795mm","171.9742mm","12.573mm","T","270.00",""
"C2","E3,5-8","102.3782mm","34.798mm","102.3782mm","34.798mm","100.6002mm","34.798mm","T","0.00",""
"R30","0805","191.387mm","29.21mm","191.3798mm","29.21mm","190.4798mm","29.21mm","T","0.00",""
"T1","SOT23","190.9646mm","32.1132mm","190.9734mm","32.1056mm","192.0734mm","31.1556mm","T","90.00",""
"IC1","SO16","104.6642mm","24.9936mm","104.6642mm","24.9936mm","101.5908mm","29.4386mm","T","270.00",""
"SW1","EVQ-Q2","103.4737mm","10.6916mm","103.4704mm","10.6934mm","101.4704mm","14.0934mm","T","270.00",""
"SW2","EVQ-Q2","112.5603mm","10.5936mm","112.5636mm","10.5918mm","114.5636mm","7.1918mm","T","90.00",""
"SW3","EVQ-Q2","177.183mm","32.8963mm","177.1812mm","32.893mm","173.7812mm","30.893mm","T","0.00",""
"SW4","EVQ-Q2","185.7682mm","10.6967mm","185.7664mm","10.6934mm","182.3664mm","8.6934mm","T","0.00",""
"LED28","LED5MM","126.4828mm","30.099mm","126.4828mm","30.099mm","125.2128mm","30.099mm","T","0.00",""
"R1","0805","108.5686mm","37.592mm","108.5758mm","37.592mm","109.4758mm","37.592mm","T","180.00",""
"R2","0805","191.2854mm","26.8986mm","191.2782mm","26.8986mm","190.3782mm","26.8986mm","T","0.00",""
"R4","0805","176.0708mm","17.6022mm","176.0636mm","17.6022mm","175.1636mm","17.6022mm","T","0.00",""
"U$3","TSSOP24","116.58mm","24.8936mm","116.5768mm","24.892mm","113.0018mm","21.9742mm","T","0.00",""
"U$4","TSSOP24","171.7678mm","24.103mm","171.771mm","24.1046mm","175.346mm","27.0224mm","T","180.00",""
"R3","0805","117.0776mm","32.7914mm","117.0848mm","32.7914mm","117.9848mm","32.7914mm","T","180.00",""
"R5","0805","180.6538mm","29.0068mm","180.661mm","29.0068mm","181.561mm","29.0068mm","T","180.00",""
"R6","0805","174.2674mm","16.002mm","174.2602mm","16.002mm","173.3602mm","16.002mm","T","0.00",""
"C1","C0805","111.573mm","26.7902mm","111.573mm","26.797mm","111.573mm","27.647mm","T","270.00",""
"C3","C0805","180.5848mm","24.8988mm","180.5848mm","24.892mm","180.5848mm","24.042mm","T","90.00",""
"LED31","CHIPLED_1206","166.2846mm","11.5049mm","166.2846mm","11.5062mm","166.2846mm","13.2562mm","T","180.00",""
"LED32","CHIPLED_1206","122.2664mm","11.9901mm","122.2664mm","11.9888mm","122.2664mm","10.2388mm","T","0.00",""
"IC2","QFN-10","175.5738mm","4.7062mm","175.581mm","4.699mm","174.819mm","3.799mm","T","90.00",""
"FID1","FIDUCIAL-1X2","192.98mm","-0.1016mm","192.98mm","-0.1016mm","192.98mm","-0.1016mm","T","0.00",""
"FID2","FIDUCIAL-1X2","98.1618mm","37.7952mm","98.1618mm","37.7952mm","98.1618mm","37.7952mm","T","0.00",""
"U$1","FIDUCIAL_1MM","98.9746mm","0mm","98.9746mm","0mm","98.9746mm","0mm","T","0.00",""
"U$5","FIDUCIAL_1MM","192.7768mm","36.9062mm","192.7768mm","36.9062mm","192.7768mm","36.9062mm","T","0.00",""
"LED2","LED5MM","156.4802mm","59.0904mm","156.4802mm","59.0904mm","155.2102mm","59.0904mm","T","0.00",""
"LED3","LED5MM","150.4604mm","59.0904mm","150.4604mm","59.0904mm","149.1904mm","59.0904mm","T","0.00",""
"LED4","LED5MM","144.466mm","59.0904mm","144.466mm","59.0904mm","143.196mm","59.0904mm","T","0.00",""
"LED5","LED5MM","138.4716mm","59.0904mm","138.4716mm","59.0904mm","137.2016mm","59.0904mm","T","0.00",""
"LED6","LED5MM","132.4772mm","59.0904mm","132.4772mm","59.0904mm","131.2072mm","59.0904mm","T","0.00",""
"LED7","LED5MM","126.4828mm","59.0904mm","126.4828mm","59.0904mm","125.2128mm","59.0904mm","T","0.00",""
"LED8","LED5MM","162.4746mm","65.1102mm","162.4746mm","65.1102mm","161.2046mm","65.1102mm","T","0.00",""
"LED9","LED5MM","156.4802mm","65.1102mm","156.4802mm","65.1102mm","155.2102mm","65.1102mm","T","0.00",""
"LED10","LED5MM","150.4604mm","65.1102mm","150.4604mm","65.1102mm","149.1904mm","65.1102mm","T","0.00",""
"LED11","LED5MM","144.466mm","65.1102mm","144.466mm","65.1102mm","143.196mm","65.1102mm","T","0.00",""
"LED12","LED5MM","138.4716mm","65.1102mm","138.4716mm","65.1102mm","137.2016mm","65.1102mm","T","0.00",""
"LED13","LED5MM","132.4772mm","65.1102mm","132.4772mm","65.1102mm","131.2072mm","65.1102mm","T","0.00",""
"LED14","LED5MM","126.4828mm","65.1102mm","126.4828mm","65.1102mm","125.2128mm","65.1102mm","T","0.00",""
"LED15","LED5MM","162.4746mm","71.1046mm","162.4746mm","71.1046mm","161.2046mm","71.1046mm","T","0.00",""
"LED16","LED5MM","156.4802mm","71.1046mm","156.4802mm","71.1046mm","155.2102mm","71.1046mm","T","0.00",""
"LED17","LED5MM","150.4604mm","71.1046mm","150.4604mm","71.1046mm","149.1904mm","71.1046mm","T","0.00",""
"LED18","LED5MM","144.466mm","71.1046mm","144.466mm","71.1046mm","143.196mm","71.1046mm","T","0.00",""
"LED19","LED5MM","138.4716mm","71.1046mm","138.4716mm","71.1046mm","137.2016mm","71.1046mm","T","0.00",""
"LED20","LED5MM","132.4772mm","71.1046mm","132.4772mm","71.1046mm","131.2072mm","71.1046mm","T","0.00",""
"LED21","LED5MM","126.4828mm","71.1046mm","126.4828mm","71.1046mm","125.2128mm","71.1046mm","T","0.00",""
"LED22","LED5MM","162.4746mm","77.099mm","162.4746mm","77.099mm","161.2046mm","77.099mm","T","0.00",""
"LED23","LED5MM","156.4802mm","77.099mm","156.4802mm","77.099mm","155.2102mm","77.099mm","T","0.00",""
"LED24","LED5MM","150.4604mm","77.099mm","150.4604mm","77.099mm","149.1904mm","77.099mm","T","0.00",""
"LED25","LED5MM","144.466mm","77.099mm","144.466mm","77.099mm","143.196mm","77.099mm","T","0.00",""
"LED26","LED5MM","138.4716mm","77.099mm","138.4716mm","77.099mm","137.2016mm","77.099mm","T","0.00",""
"LED27","LED5MM","132.4772mm","77.099mm","132.4772mm","77.099mm","131.2072mm","77.099mm","T","0.00",""
"LED1","LED5MM","162.4746mm","58.9888mm","162.4746mm","58.9888mm","161.2046mm","58.9888mm","T","0.00",""
"U$2","LED-TRICOLOR-SMD","185.7212mm","51.8126mm","185.7156mm","51.8006mm","186.4268mm","50.3006mm","T","0.00",""
"SV1","FE05-1","114.494mm","81.9758mm","114.494mm","81.9758mm","109.414mm","81.9758mm","T","0.00",""
"R32","0805","181.0492mm","51.9276mm","181.042mm","51.9276mm","180.142mm","51.9276mm","T","0.00",""
"R33","0805","189.805mm","52.5444mm","189.805mm","52.5372mm","189.805mm","51.6372mm","T","90.00",""
"R36","0805","108.0932mm","53.9016mm","108.0932mm","53.9088mm","108.0932mm","54.8088mm","T","270.00",""
"R37","0805","107.948mm","49.8702mm","107.9408mm","49.8702mm","107.0408mm","49.8702mm","T","0.00",""
"R38","0805","185.4616mm","81.0542mm","185.4616mm","81.0614mm","185.4616mm","81.9614mm","T","270.00",""
"R39","0805","180.9984mm","53.985mm","180.9912mm","53.985mm","180.0912mm","53.985mm","T","0.00",""
"SV3_LCD_HEADER","MDF7-5S-2.54DSA","135.2839mm","83.5125mm","128.972mm","80.401mm","130.1912mm","82.0012mm","T","0.00",""
"SG1","BUZZER-12MM","187.2656mm","67.4978mm","187.265mm","67.4978mm","190.5162mm","67.4978mm","T","0.00",""
"JP1","2X20","144.085mm","51.8006mm","144.085mm","51.8006mm","168.215mm","53.0706mm","T","180.00",""
"R51","0805","178.4694mm","59.7mm","178.4766mm","59.7mm","179.3766mm","59.7mm","T","180.00",""
"R52","0805","103.26mm","48.8034mm","103.2672mm","48.8034mm","104.1672mm","48.8034mm","T","180.00",""
"R55","0805","112.4548mm","48.8034mm","112.462mm","48.8034mm","113.362mm","48.8034mm","T","180.00",""
"LED29","CHIPLED_1206","103.3675mm","51.191mm","103.3688mm","51.191mm","105.1188mm","51.191mm","T","90.00",""
"LED30","CHIPLED_1206","112.4607mm","51.0894mm","112.462mm","51.0894mm","114.212mm","51.0894mm","T","90.00",""
"C6","E3,5-8","171.9742mm","57.795mm","171.9742mm","57.795mm","171.9742mm","59.573mm","T","270.00",""
"C2","E3,5-8","102.3782mm","81.798mm","102.3782mm","81.798mm","100.6002mm","81.798mm","T","0.00",""
"R30","0805","191.387mm","76.21mm","191.3798mm","76.21mm","190.4798mm","76.21mm","T","0.00",""
"T1","SOT23","190.9646mm","79.1132mm","190.9734mm","79.1056mm","192.0734mm","78.1556mm","T","90.00",""
"IC1","SO16","104.6642mm","71.9936mm","104.6642mm","71.9936mm","101.5908mm","76.4386mm","T","270.00",""
"SW1","EVQ-Q2","103.4737mm","57.6916mm","103.4704mm","57.6934mm","101.4704mm","61.0934mm","T","270.00",""
"SW2","EVQ-Q2","112.5603mm","57.5936mm","112.5636mm","57.5918mm","114.5636mm","54.1918mm","T","90.00",""
"SW3","EVQ-Q2","177.183mm","79.8963mm","177.1812mm","79.893mm","173.7812mm","77.893mm","T","0.00",""
"SW4","EVQ-Q2","185.7682mm","57.6967mm","185.7664mm","57.6934mm","182.3664mm","55.6934mm","T","0.00",""
"LED28","LED5MM","126.4828mm","77.099mm","126.4828mm","77.099mm","125.2128mm","77.099mm","T","0.00",""
"R1","0805","108.5686mm","84.592mm","108.5758mm","84.592mm","109.4758mm","84.592mm","T","180.00",""
"R2","0805","191.2854mm","73.8986mm","191.2782mm","73.8986mm","190.3782mm","73.8986mm","T","0.00",""
"R4","0805","176.0708mm","64.6022mm","176.0636mm","64.6022mm","175.1636mm","64.6022mm","T","0.00",""
"U$3","TSSOP24","116.58mm","71.8936mm","116.5768mm","71.892mm","113.0018mm","68.9742mm","T","0.00",""
"U$4","TSSOP24","171.7678mm","71.103mm","171.771mm","71.1046mm","175.346mm","74.0224mm","T","180.00",""
"R3","0805","117.0776mm","79.7914mm","117.0848mm","79.7914mm","117.9848mm","79.7914mm","T","180.00",""
"R5","0805","180.6538mm","76.0068mm","180.661mm","76.0068mm","181.561mm","76.0068mm","T","180.00",""
"R6","0805","174.2674mm","63.002mm","174.2602mm","63.002mm","173.3602mm","63.002mm","T","0.00",""
"C1","C0805","111.573mm","73.7902mm","111.573mm","73.797mm","111.573mm","74.647mm","T","270.00",""
"C3","C0805","180.5848mm","71.8988mm","180.5848mm","71.892mm","180.5848mm","71.042mm","T","90.00",""
"LED31","CHIPLED_1206","166.2846mm","58.5049mm","166.2846mm","58.5062mm","166.2846mm","60.2562mm","T","180.00",""
"LED32","CHIPLED_1206","122.2664mm","58.9901mm","122.2664mm","58.9888mm","122.2664mm","57.2388mm","T","0.00",""
"IC2","QFN-10","175.5738mm","51.7062mm","175.581mm","51.699mm","174.819mm","50.799mm","T","90.00",""
"FID1","FIDUCIAL-1X2","192.98mm","46.8984mm","192.98mm","46.8984mm","192.98mm","46.8984mm","T","0.00",""
"FID2","FIDUCIAL-1X2","98.1618mm","84.7952mm","98.1618mm","84.7952mm","98.1618mm","84.7952mm","T","0.00",""
"U$1","FIDUCIAL_1MM","98.9746mm","47mm","98.9746mm","47mm","98.9746mm","47mm","T","0.00",""
"U$5","FIDUCIAL_1MM","192.7768mm","83.9062mm","192.7768mm","83.9062mm","192.7768mm","83.9062mm","T","0.00",""
"LED2","LED5MM","156.4802mm","106.0904mm","156.4802mm","106.0904mm","155.2102mm","106.0904mm","T","0.00",""
"LED3","LED5MM","150.4604mm","106.0904mm","150.4604mm","106.0904mm","149.1904mm","106.0904mm","T","0.00",""
"LED4","LED5MM","144.466mm","106.0904mm","144.466mm","106.0904mm","143.196mm","106.0904mm","T","0.00",""
"LED5","LED5MM","138.4716mm","106.0904mm","138.4716mm","106.0904mm","137.2016mm","106.0904mm","T","0.00",""
"LED6","LED5MM","132.4772mm","106.0904mm","132.4772mm","106.0904mm","131.2072mm","106.0904mm","T","0.00",""
"LED7","LED5MM","126.4828mm","106.0904mm","126.4828mm","106.0904mm","125.2128mm","106.0904mm","T","0.00",""
"LED8","LED5MM","162.4746mm","112.1102mm","162.4746mm","112.1102mm","161.2046mm","112.1102mm","T","0.00",""
"LED9","LED5MM","156.4802mm","112.1102mm","156.4802mm","112.1102mm","155.2102mm","112.1102mm","T","0.00",""
"LED10","LED5MM","150.4604mm","112.1102mm","150.4604mm","112.1102mm","149.1904mm","112.1102mm","T","0.00",""
"LED11","LED5MM","144.466mm","112.1102mm","144.466mm","112.1102mm","143.196mm","112.1102mm","T","0.00",""
"LED12","LED5MM","138.4716mm","112.1102mm","138.4716mm","112.1102mm","137.2016mm","112.1102mm","T","0.00",""
"LED13","LED5MM","132.4772mm","112.1102mm","132.4772mm","112.1102mm","131.2072mm","112.1102mm","T","0.00",""
"LED14","LED5MM","126.4828mm","112.1102mm","126.4828mm","112.1102mm","125.2128mm","112.1102mm","T","0.00",""
"LED15","LED5MM","162.4746mm","118.1046mm","162.4746mm","118.1046mm","161.2046mm","118.1046mm","T","0.00",""
"LED16","LED5MM","156.4802mm","118.1046mm","156.4802mm","118.1046mm","155.2102mm","118.1046mm","T","0.00",""
"LED17","LED5MM","150.4604mm","118.1046mm","150.4604mm","118.1046mm","149.1904mm","118.1046mm","T","0.00",""
"LED18","LED5MM","144.466mm","118.1046mm","144.466mm","118.1046mm","143.196mm","118.1046mm","T","0.00",""
"LED19","LED5MM","138.4716mm","118.1046mm","138.4716mm","118.1046mm","137.2016mm","118.1046mm","T","0.00",""
"LED20","LED5MM","132.4772mm","118.1046mm","132.4772mm","118.1046mm","131.2072mm","118.1046mm","T","0.00",""
"LED21","LED5MM","126.4828mm","118.1046mm","126.4828mm","118.1046mm","125.2128mm","118.1046mm","T","0.00",""
"LED22","LED5MM","162.4746mm","124.099mm","162.4746mm","124.099mm","161.2046mm","124.099mm","T","0.00",""
"LED23","LED5MM","156.4802mm","124.099mm","156.4802mm","124.099mm","155.2102mm","124.099mm","T","0.00",""
"LED24","LED5MM","150.4604mm","124.099mm","150.4604mm","124.099mm","149.1904mm","124.099mm","T","0.00",""
"LED25","LED5MM","144.466mm","124.099mm","144.466mm","124.099mm","143.196mm","124.099mm","T","0.00",""
"LED26","LED5MM","138.4716mm","124.099mm","138.4716mm","124.099mm","137.2016mm","124.099mm","T","0.00",""
"LED27","LED5MM","132.4772mm","124.099mm","132.4772mm","124.099mm","131.2072mm","124.099mm","T","0.00",""
"LED1","LED5MM","162.4746mm","105.9888mm","162.4746mm","105.9888mm","161.2046mm","105.9888mm","T","0.00",""
"U$2","LED-TRICOLOR-SMD","185.7212mm","98.8126mm","185.7156mm","98.8006mm","186.4268mm","97.3006mm","T","0.00",""
"SV1","FE05-1","114.494mm","128.9758mm","114.494mm","128.9758mm","109.414mm","128.9758mm","T","0.00",""
"R32","0805","181.0492mm","98.9276mm","181.042mm","98.9276mm","180.142mm","98.9276mm","T","0.00",""
"R33","0805","189.805mm","99.5444mm","189.805mm","99.5372mm","189.805mm","98.6372mm","T","90.00",""
"R36","0805","108.0932mm","100.9016mm","108.0932mm","100.9088mm","108.0932mm","101.8088mm","T","270.00",""
"R37","0805","107.948mm","96.8702mm","107.9408mm","96.8702mm","107.0408mm","96.8702mm","T","0.00",""
"R38","0805","185.4616mm","128.0542mm","185.4616mm","128.0614mm","185.4616mm","128.9614mm","T","270.00",""
"R39","0805","180.9984mm","100.985mm","180.9912mm","100.985mm","180.0912mm","100.985mm","T","0.00",""
"SV3_LCD_HEADER","MDF7-5S-2.54DSA","135.2839mm","130.5125mm","128.972mm","127.401mm","130.1912mm","129.0012mm","T","0.00",""
"SG1","BUZZER-12MM","187.2656mm","114.4978mm","187.265mm","114.4978mm","190.5162mm","114.4978mm","T","0.00",""
"JP1","2X20","144.085mm","98.8006mm","144.085mm","98.8006mm","168.215mm","100.0706mm","T","180.00",""
"R51","0805","178.4694mm","106.7mm","178.4766mm","106.7mm","179.3766mm","106.7mm","T","180.00",""
"R52","0805","103.26mm","95.8034mm","103.2672mm","95.8034mm","104.1672mm","95.8034mm","T","180.00",""
"R55","0805","112.4548mm","95.8034mm","112.462mm","95.8034mm","113.362mm","95.8034mm","T","180.00",""
"LED29","CHIPLED_1206","103.3675mm","98.191mm","103.3688mm","98.191mm","105.1188mm","98.191mm","T","90.00",""
"LED30","CHIPLED_1206","112.4607mm","98.0894mm","112.462mm","98.0894mm","114.212mm","98.0894mm","T","90.00",""
"C6","E3,5-8","171.9742mm","104.795mm","171.9742mm","104.795mm","171.9742mm","106.573mm","T","270.00",""
"C2","E3,5-8","102.3782mm","128.798mm","102.3782mm","128.798mm","100.6002mm","128.798mm","T","0.00",""
"R30","0805","191.387mm","123.21mm","191.3798mm","123.21mm","190.4798mm","123.21mm","T","0.00",""
"T1","SOT23","190.9646mm","126.1132mm","190.9734mm","126.1056mm","192.0734mm","125.1556mm","T","90.00",""
"IC1","SO16","104.6642mm","118.9936mm","104.6642mm","118.9936mm","101.5908mm","123.4386mm","T","270.00",""
"SW1","EVQ-Q2","103.4737mm","104.6916mm","103.4704mm","104.6934mm","101.4704mm","108.0934mm","T","270.00",""
"SW2","EVQ-Q2","112.5603mm","104.5936mm","112.5636mm","104.5918mm","114.5636mm","101.1918mm","T","90.00",""
"SW3","EVQ-Q2","177.183mm","126.8963mm","177.1812mm","126.893mm","173.7812mm","124.893mm","T","0.00",""
"SW4","EVQ-Q2","185.7682mm","104.6967mm","185.7664mm","104.6934mm","182.3664mm","102.6934mm","T","0.00",""
"LED28","LED5MM","126.4828mm","124.099mm","126.4828mm","124.099mm","125.2128mm","124.099mm","T","0.00",""
"R1","0805","108.5686mm","131.592mm","108.5758mm","131.592mm","109.4758mm","131.592mm","T","180.00",""
"R2","0805","191.2854mm","120.8986mm","191.2782mm","120.8986mm","190.3782mm","120.8986mm","T","0.00",""
"R4","0805","176.0708mm","111.6022mm","176.0636mm","111.6022mm","175.1636mm","111.6022mm","T","0.00",""
"U$3","TSSOP24","116.58mm","118.8936mm","116.5768mm","118.892mm","113.0018mm","115.9742mm","T","0.00",""
"U$4","TSSOP24","171.7678mm","118.103mm","171.771mm","118.1046mm","175.346mm","121.0224mm","T","180.00",""
"R3","0805","117.0776mm","126.7914mm","117.0848mm","126.7914mm","117.9848mm","126.7914mm","T","180.00",""
"R5","0805","180.6538mm","123.0068mm","180.661mm","123.0068mm","181.561mm","123.0068mm","T","180.00",""
"R6","0805","174.2674mm","110.002mm","174.2602mm","110.002mm","173.3602mm","110.002mm","T","0.00",""
"C1","C0805","111.573mm","120.7902mm","111.573mm","120.797mm","111.573mm","121.647mm","T","270.00",""
"C3","C0805","180.5848mm","118.8988mm","180.5848mm","118.892mm","180.5848mm","118.042mm","T","90.00",""
"LED31","CHIPLED_1206","166.2846mm","105.5049mm","166.2846mm","105.5062mm","166.2846mm","107.2562mm","T","180.00",""
"LED32","CHIPLED_1206","122.2664mm","105.9901mm","122.2664mm","105.9888mm","122.2664mm","104.2388mm","T","0.00",""
"IC2","QFN-10","175.5738mm","98.7062mm","175.581mm","98.699mm","174.819mm","97.799mm","T","90.00",""
"FID1","FIDUCIAL-1X2","192.98mm","93.8984mm","192.98mm","93.8984mm","192.98mm","93.8984mm","T","0.00",""
"FID2","FIDUCIAL-1X2","98.1618mm","131.7952mm","98.1618mm","131.7952mm","98.1618mm","131.7952mm","T","0.00",""
"U$1","FIDUCIAL_1MM","98.9746mm","94mm","98.9746mm","94mm","98.9746mm","94mm","T","0.00",""
"U$5","FIDUCIAL_1MM","192.7768mm","130.9062mm","192.7768mm","130.9062mm","192.7768mm","130.9062mm","T","0.00",""
"LED2","LED5MM","156.4802mm","153.0904mm","156.4802mm","153.0904mm","155.2102mm","153.0904mm","T","0.00",""
"LED3","LED5MM","150.4604mm","153.0904mm","150.4604mm","153.0904mm","149.1904mm","153.0904mm","T","0.00",""
"LED4","LED5MM","144.466mm","153.0904mm","144.466mm","153.0904mm","143.196mm","153.0904mm","T","0.00",""
"LED5","LED5MM","138.4716mm","153.0904mm","138.4716mm","153.0904mm","137.2016mm","153.0904mm","T","0.00",""
"LED6","LED5MM","132.4772mm","153.0904mm","132.4772mm","153.0904mm","131.2072mm","153.0904mm","T","0.00",""
"LED7","LED5MM","126.4828mm","153.0904mm","126.4828mm","153.0904mm","125.2128mm","153.0904mm","T","0.00",""
"LED8","LED5MM","162.4746mm","159.1102mm","162.4746mm","159.1102mm","161.2046mm","159.1102mm","T","0.00",""
"LED9","LED5MM","156.4802mm","159.1102mm","156.4802mm","159.1102mm","155.2102mm","159.1102mm","T","0.00",""
"LED10","LED5MM","150.4604mm","159.1102mm","150.4604mm","159.1102mm","149.1904mm","159.1102mm","T","0.00",""
"LED11","LED5MM","144.466mm","159.1102mm","144.466mm","159.1102mm","143.196mm","159.1102mm","T","0.00",""
"LED12","LED5MM","138.4716mm","159.1102mm","138.4716mm","159.1102mm","137.2016mm","159.1102mm","T","0.00",""
"LED13","LED5MM","132.4772mm","159.1102mm","132.4772mm","159.1102mm","131.2072mm","159.1102mm","T","0.00",""
"LED14","LED5MM","126.4828mm","159.1102mm","126.4828mm","159.1102mm","125.2128mm","159.1102mm","T","0.00",""
"LED15","LED5MM","162.4746mm","165.1046mm","162.4746mm","165.1046mm","161.2046mm","165.1046mm","T","0.00",""
"LED16","LED5MM","156.4802mm","165.1046mm","156.4802mm","165.1046mm","155.2102mm","165.1046mm","T","0.00",""
"LED17","LED5MM","150.4604mm","165.1046mm","150.4604mm","165.1046mm","149.1904mm","165.1046mm","T","0.00",""
